,card_date_week,Title Match,Champion Status,Match Type,Wrestler,Number of Wins,Number of Single Wins,Number of Triple Threat Wins,Number of Fata Fourway Wins,Number of Tag Team Wins,Number of Single Title Wins,Number of Tag Team Title Wins,Number of Single Title Defenses,Number of Tag Team Title Defenses,Royal Rumble Win,Money in the Bank Win,Number of Losses,Number of Single Losses,Number of Triple Threat Losses,Number of Fata Fourway Losses,Number of Tag Team Losses,Number of Single Title Losses,Number of Tag Team Title Losses,Overall Number of Matches,Date_Month,Positive Count,Neutral Count,Negative Count
61,2023-03-06,No Title Match,No Title Match,6 Tag Team,Damian Priest,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2023-03-01,0,0,1
62,2023-03-06,No Title Match,No Title Match,6 Tag Team,Damian Priest,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2023-03-01,0,1,0
63,2023-03-06,No Title Match,No Title Match,6 Tag Team,Damian Priest,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2023-03-01,0,1,0
64,2023-03-06,No Title Match,No Title Match,6 Tag Team,Damian Priest,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2023-03-01,0,1,0
65,2023-03-06,No Title Match,No Title Match,6 Tag Team,Dominik Mysterio,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2023-03-01,2,0,0
66,2023-03-06,No Title Match,No Title Match,6 Tag Team,Dominik Mysterio,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2023-03-01,1,0,0
67,2023-03-06,No Title Match,No Title Match,6 Tag Team,Drew McIntyre,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2023-03-01,1,0,0
68,2023-03-06,No Title Match,No Title Match,6 Tag Team,Drew McIntyre,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2023-03-01,0,0,4
69,2023-03-06,No Title Match,No Title Match,6 Tag Team,Drew McIntyre,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2023-03-01,0,0,1
70,2023-03-06,No Title Match,No Title Match,6 Tag Team,Finn Bálor,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2023-03-01,1,0,0
71,2023-03-06,No Title Match,No Title Match,6 Tag Team,Rey Mysterio,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2023-03-01,28,0,0
72,2023-03-06,No Title Match,No Title Match,6 Tag Team,Rey Mysterio,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2023-03-01,0,16,0
73,2023-03-06,No Title Match,No Title Match,6 Tag Team,Rey Mysterio,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2023-03-01,0,0,12
74,2023-03-06,No Title Match,No Title Match,6 Tag Team,Rey Mysterio,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2023-03-01,9,0,0
75,2023-03-06,No Title Match,No Title Match,6 Tag Team,Rey Mysterio,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2023-03-01,0,5,0
